class,order,analysis_priority,file_category,file_subcategory,rule_type,rule,condition
AboutFile,0,4,about,,extension,extension: .ABOUT,extension: endswith
ArchiveAndroid,10,1,archive,Android,extension,"extension: .apk, .aar",extension: in
ArchiveDebian,10,1,archive,debian,extension,extension: .deb,extension: in
ArchiveGem,10,1,archive,gem,extension,extension: .gem,extension: in
ArchiveGeneral,10,1,archive,general,extension,"extension: .7z, .7zip, .bz, .bz2, .bzip, .gz, .gzi, .tar, .tar.gz, .tgz, .xz, .zip, .cpio, .lha, .pea, .rar, .s7z, .tbz2, .tlz, .zipx",extension: in
ArchiveIos,10,1,archive,iOS,extension,extension: .ipa,extension: in
ArchiveLibrary,10,1,archive,library,extension,"extension: .a, .ar",extension: in
ArchiveMozilla,10,1,archive,mozilla,extension,"extension: .mar, .xpi",extension: in
ArchivePython,10,1,archive,python wheel,extension,"extension: .whl, .egg",extension: in
ArchiveRpm,10,1,archive,rpm,extension,extension: .rpm,extension: in
ArchiveShell,10,1,archive,shell_archive,extension,extension: .shar,extension: in
ArchiveWindows,10,1,archive,cabinet_file,extension,extension: .cab,extension: in
BinaryAr,10,1,binary,ar,mime_type,mime_type: application/x-archive,mime_type: in
BinaryElf,20,1,binary,elf-binary,file_type,file_type: elf,file_type: startswith
BinaryElfExec,10,1,binary,elf-exec,mime_type,mime_type: application/x-executable,mime_type: in
BinaryElfKo,10,1,binary,elf-ko,mime_type AND extension,"mime_type: application/x-object
extension: .ko","mime_type: in
extension: startswith"
BinaryElfO,10,1,binary,elf-o,mime_type AND extension,"mime_type: application/x-object
extension: .o","mime_type: in
extension: endswith"
BinaryElfSo,10,1,binary,elf-so,mime_type,mime_type: application/x-sharedlib,mime_type: in
BinaryGeneral,10,2,binary,data,extension,extension: .bin,extension: in
BinaryJava,10,1,binary,java,extension,"extension: .class, .jar, .ear, .sar, .war",extension: in
BinaryMacosx,10,1,binary,macosx,mime_type,mime_type: application/x-mach-binary,mime_type: in
BinaryPython,10,1,binary,Python,extension,"extension: .pyc, .pyo",extension: in
BinaryWindows,10,1,binary,windows,mime_type,mime_type: application/x-dosexec,mime_type: in
BinaryWindows,10,1,binary,windows,extension,"extension: .exe, .msi",extension: in
BuildBazel,0,5,build,Bazel,extension,extension: .bzl,extension: in
BuildBazel,0,5,build,Bazel,name AND type,"name: build.bazel
type: file","name: in
type: equal"
BuildBuck,0,5,build,BUCK,name AND type,"name: buck
type: file","name: in
type: equal"
BuildDocker,0,2,build,Docker,name AND type,"name: dockerfile
type: file","name: substring
type: equal"
BuildMake,0,5,build,make,name AND type,"name: makefile
type: file","name: substring
type: equal"
BuildQt,10,5,build,Qt,extension,"extension: .pri, .pro",extension: in
Cache,0,95,Cache,,extension,extension: .cache,extension: in
Cache,20,95,Cache,,path,path: /cache/,path: substring
Calendar,10,91,calendar,,extension,extension: .ics,extension: in
Certificate,10,3,certificate,,extension,"extension: .crt, .der, .pem",extension: in
Checksum,0,3,checksum,,extension AND type,"extension: .checksum, .sha1, .md5, .sha256, .sha512
type: file","extension: in
type: equal"
ConfigEncrypt,10,3,config,encrpyted,extension,extension: .enc,extension: in
ConfigGeneral,10,3,config,general,extension,"extension: .cfg, .conf, .config, .jxs, .properties, .yaml, .yml, ._yaml, .inc, .localdev, .local, .ncfg, .netrc, .rule, .profile, .po",extension: in
ConfigInitialPeriod,10,96,config,initial_period,name AND type,"name: .
type: file","name: startswith
type: equal"
ConfigMacro,10,3,config,macro,extension,extension: .m4,extension: in
ConfigPython,10,3,config,Python,name,"name: __init__.py, pyproject.toml",name: in
ConfigPython,10,3,config,Python,extension,extension: .pth,extension: in
ConfigTemplate,10,3,config,template,extension,extension: .tmpl,extension: in
ConfigVisualCpp,10,3,config,Visual-CPP,extension,"extension: .vcxproj, .vcproj",extension: in
ConfigXcode,0,3,config,xcode,name AND type,"name: info.plist
type: file","name: in
type: equal"
ConfigXcode,0,3,config,xcode,extension,extension: .xcodeproj,extension: in
ConfigXml,20,3,config,xml,extension,"extension: .dtd, .xml, .xsd, .xsl, .xslt, .lcl, .xlf, .iml",extension: in
DataJson,10,6,data,json,extension,extension: .json,extension: in
DataJson,10,6,data,json,file_type,file_type: JSON data,file_type: in
DataProtoBuf,10,2,data,ProtoBuf,extension,extension: .proto,extension: in
DataType,20,5,data,,file_type,file_type: data,file_type: in
DebugWindows,10,1,debug,windows,extension,extension: .pdb,extension: in
Diff,10,2,source,diff,extension,extension: .diff,extension: in
Directory,0,99,directory,,type,type: directory,type: equal
DiskImage,10,1,binary,image,extension,"extension: .dmg, .iso",extension: in
DocEmail,0,7,doc,Email Message,extension AND type,"extension: .msg
type: file","extension: in
type: equal"
DocGeneral,20,7,doc,general,extension,"extension: .csv, .doc, .docx, .man, .md, .odp, .ods, .odt, .pdf, .ppt, .pptx,.rtf, .tex, .txt, .xls, .xlsm, .xlsx, .log, .rdoc, .asciidoc, .sln, .rst, .vcf, .wpd, .wps",extension: in
DocGeneral,20,7,doc,general,name AND type,"name: changelog, changes
type: file","name: substring
type: equal"
DocLicense,0,7,doc,license,name AND type AND programming_language,"name: copying, copyright, license, notice
type: file
programming_language: False","name: substring
type: equal
programming_language: boolean"
DocLicense,0,7,doc,license,name AND type AND extension,"name: copying, copyright, license, notice
type: file
extension: False","name: substring
type: equal
extension: boolean"
DocReadme,0,7,doc,readme,name AND type AND programming_language,"name: readme
type: file
programming_language: False","name: substring
type: equal
programming_language: boolean"
